icrates_id,deposit_id,location_id,fabric_id,standard_form_id,standard_form_publication_uncertain,standard_form_icrates,deposit_lower_date,deposit_upper_date,fabric,fabric_h1,standard_form,fabric,standard_typo_chronological_lower_date,standard_typo_chronological_upper_date
133,1705.0,40.0,51.0,1199.0,0,,,,ESC,esc,M-SN13,ESC,1.0,50.0
134,1705.0,40.0,51.0,1199.0,0,,,,ESC,esc,M-SN13,ESC,1.0,50.0
135,1705.0,40.0,51.0,1199.0,0,,,,ESC,esc,M-SN13,ESC,1.0,50.0
136,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
137,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
138,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
139,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
140,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
141,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
142,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
143,1705.0,40.0,51.0,1199.0,0,,,,ESC,esc,M-SN13,ESC,1.0,50.0
144,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
145,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
146,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
147,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
148,1705.0,40.0,51.0,1199.0,0,,,,ESC,esc,M-SN13,ESC,1.0,50.0
149,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
150,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
151,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
152,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
153,1705.0,40.0,51.0,1214.0,0,,,,ESC,esc,M-SN39a,ESC,-75.0,100.0
154,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
155,1705.0,40.0,51.0,1218.0,0,,,,ESC,esc,M-SN39d,ESC,25.0,150.0
156,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
157,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
158,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
159,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
160,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
161,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
162,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
163,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
164,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
165,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
166,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
167,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
168,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
169,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
170,1705.0,40.0,51.0,1218.0,0,,,,ESC,esc,M-SN39d,ESC,25.0,150.0
171,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
172,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
173,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
174,1705.0,40.0,51.0,1218.0,0,,,,ESC,esc,M-SN39d,ESC,25.0,150.0
175,1705.0,40.0,51.0,1217.0,0,,,,ESC,esc,M-SN39c,ESC,25.0,50.0
176,1705.0,40.0,51.0,1217.0,0,,,,ESC,esc,M-SN39c,ESC,25.0,50.0
177,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
178,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
179,1705.0,40.0,51.0,1217.0,0,,,,ESC,esc,M-SN39c,ESC,25.0,50.0
180,1705.0,40.0,51.0,1214.0,0,,,,ESC,esc,M-SN39a,ESC,-75.0,100.0
181,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
182,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
183,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
184,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
185,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
186,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
187,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
188,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
189,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
190,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
